# Accumulated Berry phases using Wilson Loop method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
4.909839	281.313050	0.000000	-2.454919	-2.454919	0.000000
4.929961	282.465973	0.000000	-2.464981	-2.464981	0.000000
4.950084	283.618895	0.000000	-2.475042	-2.475042	0.000000
4.970206	284.771817	0.000000	-2.485103	-2.485103	0.000000
4.990328	285.924740	0.000000	-2.495164	-2.495164	0.000000
5.010450	287.077662	0.000000	-2.505225	-2.505225	0.000000
5.030573	288.230584	0.000000	-2.515286	-2.515286	0.000000
5.050695	289.383507	0.000000	-2.525347	-2.525347	0.000000
5.070817	290.536429	0.000000	-2.535409	-2.535409	0.000000
5.090940	291.689351	0.000000	-2.545470	-2.545470	0.000000
5.111062	292.842274	0.000000	-2.555531	-2.555531	0.000000
5.131184	293.995196	0.000000	-2.565592	-2.565592	0.000000
5.151306	295.148118	0.000000	-2.575653	-2.575653	0.000000
5.171429	296.301041	0.000000	-2.585714	-2.585714	0.000000
5.191551	297.453963	0.000000	-2.595776	-2.595776	0.000000
5.211673	298.606886	0.000000	-2.605837	-2.605837	0.000000
5.231796	299.759808	0.000000	-2.615898	-2.615898	0.000000
5.251918	300.912730	0.000000	-2.625959	-2.625959	0.000000
5.272040	302.065653	0.000000	-2.636020	-2.636020	0.000000
5.292162	303.218575	0.000000	-2.646081	-2.646081	0.000000
5.312285	304.371497	0.000000	-2.656142	-2.656142	0.000000
5.332407	305.524420	0.000000	-2.666204	-2.666204	0.000000
5.352529	306.677342	0.000000	-2.676265	-2.676265	0.000000
5.372652	307.830264	0.000000	-2.686326	-2.686326	0.000000
5.392774	308.983187	0.000000	-2.696387	-2.696387	0.000000
5.412896	310.136109	0.000000	-2.706448	-2.706448	0.000000
5.433019	311.289031	0.000000	-2.716509	-2.716509	0.000000
5.453141	312.441954	0.000000	-2.726570	-2.726570	0.000000
5.473263	313.594876	0.000000	-2.736632	-2.736632	0.000000
5.493385	314.747798	0.000000	-2.746693	-2.746693	0.000000
5.513508	315.900721	0.000000	-2.756754	-2.756754	0.000000
5.533630	317.053643	0.000000	-2.766815	-2.766815	0.000000
5.553752	318.206565	0.000000	-2.776876	-2.776876	0.000000
5.573875	319.359488	0.000000	-2.786937	-2.786937	0.000000
5.593997	320.512410	0.000000	-2.796998	-2.796998	0.000000
5.614119	321.665332	0.000000	-2.807060	-2.807060	0.000000
5.634241	322.818255	0.000000	-2.817121	-2.817121	0.000000
5.654364	323.971177	0.000000	-2.827182	-2.827182	0.000000
5.674486	325.124099	0.000000	-2.837243	-2.837243	0.000000
5.694608	326.277022	0.000000	-2.847304	-2.847304	0.000000
5.714731	327.429944	0.000000	-2.857365	-2.857365	0.000000
5.734853	328.582866	0.000000	-2.867426	-2.867426	0.000000
5.754975	329.735789	0.000000	-2.877488	-2.877488	0.000000
5.775097	330.888711	0.000000	-2.887549	-2.887549	0.000000
5.795220	332.041633	0.000000	-2.897610	-2.897610	0.000000
5.815342	333.194556	0.000000	-2.907671	-2.907671	0.000000
5.835464	334.347478	0.000000	-2.917732	-2.917732	0.000000
5.855587	335.500400	0.000000	-2.927793	-2.927793	0.000000
5.875709	336.653323	0.000000	-2.937854	-2.937854	0.000000
5.895831	337.806245	0.000000	-2.947916	-2.947916	0.000000
5.915953	338.959167	0.000000	-2.957977	-2.957977	0.000000
5.936076	340.112090	0.000000	-2.968038	-2.968038	0.000000
5.956198	341.265012	0.000000	-2.978099	-2.978099	0.000000
5.976320	342.417934	0.000000	-2.988160	-2.988160	0.000000
5.996443	343.570857	0.000000	-2.998221	-2.998221	0.000000
6.016565	344.723779	0.000000	-3.008282	-3.008282	0.000000
6.036687	345.876701	0.000000	-3.018344	-3.018344	0.000000
6.056810	347.029624	0.000000	-3.028405	-3.028405	0.000000
6.076932	348.182546	0.000000	-3.038466	-3.038466	0.000000
6.097054	349.335468	0.000000	-3.048527	-3.048527	0.000000
6.117176	350.488391	0.000000	-3.058588	-3.058588	0.000000
6.137299	351.641313	0.000000	-3.068649	-3.068649	0.000000
6.157421	352.794235	0.000000	-3.078710	-3.078710	0.000000
6.177543	353.947158	0.000000	-3.088772	-3.088772	0.000000
6.197666	355.100080	0.000000	-3.098833	-3.098833	0.000000
6.217788	356.253002	0.000000	-3.108894	-3.108894	0.000000
6.237910	357.405925	0.000000	-3.118955	-3.118955	0.000000
6.258032	358.558847	0.000000	-3.129016	-3.129016	0.000000
6.278155	359.711769	0.000000	-3.139077	-3.139077	0.000000
6.298277	360.864692	0.000000	-3.149139	-3.149139	0.000000
6.318399	362.017614	0.000000	-3.159200	-3.159200	0.000000
6.338522	363.170536	0.000000	-3.169261	-3.169261	0.000000
6.358644	364.323459	0.000000	-3.179322	-3.179322	0.000000
6.378766	365.476381	0.000000	-3.189383	-3.189383	0.000000
6.398888	366.629303	0.000000	-3.199444	-3.199444	0.000000
6.419011	367.782226	0.000000	-3.209505	-3.209505	0.000000
6.439133	368.935148	0.000000	-3.219567	-3.219567	0.000000
6.459255	370.088070	0.000000	-3.229628	-3.229628	0.000000
6.479378	371.240993	0.000000	-3.239689	-3.239689	0.000000
6.499500	372.393915	0.000000	-3.249750	-3.249750	0.000000
6.519622	373.546837	0.000000	-3.259811	-3.259811	0.000000
6.539745	374.699760	0.000000	-3.269872	-3.269872	0.000000
6.559867	375.852682	0.000000	-3.279933	-3.279933	0.000000
6.579989	377.005604	0.000000	-3.289995	-3.289995	0.000000
6.600111	378.158527	0.000000	-3.300056	-3.300056	0.000000
6.620234	379.311449	0.000000	-3.310117	-3.310117	0.000000
6.640356	380.464371	0.000000	-3.320178	-3.320178	0.000000
6.660478	381.617294	0.000000	-3.330239	-3.330239	0.000000
6.680601	382.770216	0.000000	-3.340300	-3.340300	0.000000
6.700723	383.923139	0.000000	-3.350361	-3.350361	0.000000
6.720845	385.076061	0.000000	-3.360423	-3.360423	0.000000
6.740967	386.228983	0.000000	-3.370484	-3.370484	0.000000
6.761090	387.381906	0.000000	-3.380545	-3.380545	0.000000
6.781212	388.534828	0.000000	-3.390606	-3.390606	0.000000
6.801334	389.687750	0.000000	-3.400667	-3.400667	0.000000
6.821457	390.840673	0.000000	-3.410728	-3.410728	0.000000
6.841579	391.993595	0.000000	-3.420789	-3.420789	0.000000
6.861701	393.146517	0.000000	-3.430851	-3.430851	0.000000
6.881823	394.299440	0.000000	-3.440912	-3.440912	0.000000
6.901946	395.452362	0.000000	-3.450973	-3.450973	0.000000
6.922068	396.605284	0.000000	-3.461034	-3.461034	0.000000
6.942190	397.758207	0.000000	-3.471095	-3.471095	0.000000
6.962313	398.911129	0.000000	-3.481156	-3.481156	0.000000
6.982435	400.064051	0.000000	-3.491217	-3.491217	0.000000
7.002557	401.216974	0.000000	-3.501279	-3.501279	0.000000
7.022679	402.369896	0.000000	-3.511340	-3.511340	0.000000
7.042802	403.522818	0.000000	-3.521401	-3.521401	0.000000
7.062924	404.675741	0.000000	-3.531462	-3.531462	0.000000
7.083046	405.828663	0.000000	-3.541523	-3.541523	0.000000
7.103169	406.981585	0.000000	-3.551584	-3.551584	0.000000
7.123291	408.134508	0.000000	-3.561645	-3.561645	0.000000
7.143413	409.287430	0.000000	-3.571707	-3.571707	0.000000
7.163536	410.440352	0.000000	-3.581768	-3.581768	0.000000
7.183658	411.593275	0.000000	-3.591829	-3.591829	0.000000
