# Accumulated Berry phases using Original method
# Theta (rad)	Theta (deg)	State 0	State 1	State 2	State 3
2.857365	163.714972	0.000000	-1.428683	-1.428683	0.000000
2.867426	164.291433	0.000000	-1.433713	-1.433713	0.000000
2.877488	164.867894	0.000000	-1.438744	-1.438744	0.000000
2.887549	165.444355	0.000000	-1.443774	-1.443774	0.000000
2.897610	166.020817	0.000000	-1.448805	-1.448805	0.000000
2.907671	166.597278	0.000000	-1.453836	-1.453836	0.000000
2.917732	167.173739	0.000000	-1.458866	-1.458866	0.000000
2.927793	167.750200	0.000000	-1.463897	-1.463897	0.000000
2.937854	168.326661	0.000000	-1.468927	-1.468927	0.000000
2.947916	168.903122	0.000000	-1.473958	-1.473958	0.000000
2.957977	169.479584	0.000000	-1.478988	-1.478988	0.000000
2.968038	170.056045	0.000000	-1.484019	-1.484019	0.000000
2.978099	170.632506	0.000000	-1.489050	-1.489050	0.000000
2.988160	171.208967	0.000000	-1.494080	-1.494080	0.000000
2.998221	171.785428	0.000000	-1.499111	-1.499111	0.000000
3.008282	172.361890	0.000000	-1.504141	-1.504141	0.000000
3.018344	172.938351	0.000000	-1.509172	-1.509172	0.000000
3.028405	173.514812	0.000000	-1.514202	-1.514202	0.000000
3.038466	174.091273	0.000000	-1.519233	-1.519233	0.000000
3.048527	174.667734	0.000000	-1.524264	-1.524264	0.000000
3.058588	175.244195	0.000000	-1.529294	-1.529294	0.000000
3.068649	175.820657	0.000000	-1.534325	-1.534325	0.000000
3.078710	176.397118	0.000000	-1.539355	-1.539355	0.000000
3.088772	176.973579	0.000000	-1.544386	-1.544386	0.000000
3.098833	177.550040	0.000000	-1.549416	-1.549416	0.000000
3.108894	178.126501	0.000000	-1.554447	-1.554447	0.000000
3.118955	178.702962	0.000000	-1.559478	-1.559478	0.000000
3.129016	179.279424	0.000000	-1.564508	-1.564508	0.000000
3.139077	179.855885	0.000000	-1.569539	-1.569539	0.000000
3.149139	180.432346	0.000000	-1.574569	-1.574569	0.000000
3.159200	181.008807	0.000000	-1.579600	-1.579600	0.000000
3.169261	181.585268	0.000000	-1.584630	-1.584630	0.000000
3.179322	182.161729	0.000000	-1.589661	-1.589661	0.000000
3.189383	182.738191	0.000000	-1.594692	-1.594692	0.000000
3.199444	183.314652	0.000000	-1.599722	-1.599722	0.000000
3.209505	183.891113	0.000000	-1.604753	-1.604753	0.000000
3.219567	184.467574	0.000000	-1.609783	-1.609783	0.000000
3.229628	185.044035	0.000000	-1.614814	-1.614814	0.000000
3.239689	185.620496	0.000000	-1.619844	-1.619844	0.000000
3.249750	186.196958	0.000000	-1.624875	-1.624875	0.000000
3.259811	186.773419	0.000000	-1.629906	-1.629906	0.000000
3.269872	187.349880	0.000000	-1.634936	-1.634936	0.000000
3.279933	187.926341	0.000000	-1.639967	-1.639967	0.000000
3.289995	188.502802	0.000000	-1.644997	-1.644997	0.000000
3.300056	189.079263	0.000000	-1.650028	-1.650028	0.000000
3.310117	189.655725	0.000000	-1.655058	-1.655058	0.000000
3.320178	190.232186	0.000000	-1.660089	-1.660089	0.000000
3.330239	190.808647	0.000000	-1.665120	-1.665120	0.000000
3.340300	191.385108	0.000000	-1.670150	-1.670150	0.000000
3.350361	191.961569	0.000000	-1.675181	-1.675181	0.000000
3.360423	192.538030	0.000000	-1.680211	-1.680211	0.000000
3.370484	193.114492	0.000000	-1.685242	-1.685242	0.000000
3.380545	193.690953	0.000000	-1.690272	-1.690272	0.000000
3.390606	194.267414	0.000000	-1.695303	-1.695303	0.000000
3.400667	194.843875	0.000000	-1.700334	-1.700334	0.000000
3.410728	195.420336	0.000000	-1.705364	-1.705364	0.000000
3.420789	195.996797	0.000000	-1.710395	-1.710395	0.000000
3.430851	196.573259	0.000000	-1.715425	-1.715425	0.000000
3.440912	197.149720	0.000000	-1.720456	-1.720456	0.000000
3.450973	197.726181	0.000000	-1.725486	-1.725486	0.000000
3.461034	198.302642	0.000000	-1.730517	-1.730517	0.000000
3.471095	198.879103	0.000000	-1.735548	-1.735548	0.000000
3.481156	199.455564	0.000000	-1.740578	-1.740578	0.000000
3.491217	200.032026	0.000000	-1.745609	-1.745609	0.000000
3.501279	200.608487	0.000000	-1.750639	-1.750639	0.000000
3.511340	201.184948	0.000000	-1.755670	-1.755670	0.000000
3.521401	201.761409	0.000000	-1.760700	-1.760700	0.000000
3.531462	202.337870	0.000000	-1.765731	-1.765731	0.000000
3.541523	202.914331	0.000000	-1.770762	-1.770762	0.000000
3.551584	203.490793	0.000000	-1.775792	-1.775792	0.000000
3.561645	204.067254	0.000000	-1.780823	-1.780823	0.000000
3.571707	204.643715	0.000000	-1.785853	-1.785853	0.000000
3.581768	205.220176	0.000000	-1.790884	-1.790884	0.000000
3.591829	205.796637	0.000000	-1.795914	-1.795914	0.000000
3.601890	206.373098	0.000000	-1.800945	-1.800945	0.000000
3.611951	206.949560	0.000000	-1.805976	-1.805976	0.000000
3.622012	207.526021	0.000000	-1.811006	-1.811006	0.000000
3.632073	208.102482	0.000000	-1.816037	-1.816037	0.000000
3.642135	208.678943	0.000000	-1.821067	-1.821067	0.000000
3.652196	209.255404	0.000000	-1.826098	-1.826098	0.000000
3.662257	209.831865	0.000000	-1.831128	-1.831128	0.000000
3.672318	210.408327	0.000000	-1.836159	-1.836159	0.000000
3.682379	210.984788	0.000000	-1.841190	-1.841190	0.000000
3.692440	211.561249	0.000000	-1.846220	-1.846220	0.000000
3.702502	212.137710	0.000000	-1.851251	-1.851251	0.000000
3.712563	212.714171	0.000000	-1.856281	-1.856281	0.000000
3.722624	213.290633	0.000000	-1.861312	-1.861312	0.000000
3.732685	213.867094	0.000000	-1.866342	-1.866342	0.000000
3.742746	214.443555	0.000000	-1.871373	-1.871373	0.000000
3.752807	215.020016	0.000000	-1.876404	-1.876404	0.000000
3.762868	215.596477	0.000000	-1.881434	-1.881434	0.000000
3.772930	216.172938	0.000000	-1.886465	-1.886465	0.000000
3.782991	216.749400	0.000000	-1.891495	-1.891495	0.000000
3.793052	217.325861	0.000000	-1.896526	-1.896526	0.000000
3.803113	217.902322	0.000000	-1.901556	-1.901556	0.000000
3.813174	218.478783	0.000000	-1.906587	-1.906587	0.000000
3.823235	219.055244	0.000000	-1.911618	-1.911618	0.000000
3.833296	219.631705	0.000000	-1.916648	-1.916648	0.000000
3.843358	220.208167	0.000000	-1.921679	-1.921679	0.000000
3.853419	220.784628	0.000000	-1.926709	-1.926709	0.000000
3.863480	221.361089	0.000000	-1.931740	-1.931740	0.000000
3.873541	221.937550	0.000000	-1.936770	-1.936770	0.000000
3.883602	222.514011	0.000000	-1.941801	-1.941801	0.000000
3.893663	223.090472	0.000000	-1.946832	-1.946832	0.000000
3.903724	223.666934	0.000000	-1.951862	-1.951862	0.000000
3.913786	224.243395	0.000000	-1.956893	-1.956893	0.000000
3.923847	224.819856	0.000000	-1.961923	-1.961923	0.000000
3.933908	225.396317	0.000000	-1.966954	-1.966954	0.000000
3.943969	225.972778	0.000000	-1.971984	-1.971984	0.000000
3.954030	226.549239	0.000000	-1.977015	-1.977015	0.000000
3.964091	227.125701	0.000000	-1.982046	-1.982046	0.000000
3.974152	227.702162	0.000000	-1.987076	-1.987076	0.000000
3.984214	228.278623	0.000000	-1.992107	-1.992107	0.000000
3.994275	228.855084	0.000000	-1.997137	-1.997137	0.000000
4.004336	229.431545	0.000000	-2.002168	-2.002168	0.000000
4.014397	230.008006	0.000000	-2.007199	-2.007199	0.000000
4.024458	230.584468	0.000000	-2.012229	-2.012229	0.000000
4.034519	231.160929	0.000000	-2.017260	-2.017260	0.000000
4.044580	231.737390	0.000000	-2.022290	-2.022290	0.000000
4.054642	232.313851	0.000000	-2.027321	-2.027321	0.000000
4.064703	232.890312	0.000000	-2.032351	-2.032351	0.000000
4.074764	233.466773	0.000000	-2.037382	-2.037382	0.000000
4.084825	234.043235	0.000000	-2.042413	-2.042413	0.000000
